问题id,问题,SQL,资料,FA
*,我想知道木叶村火影优选混合基金，在2018年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20180101'
AND t2.[交易日] <= '20180630' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20180101'
AND t2.[交易日] <= '20180630' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '木叶村火影优选混合' 
AND t1.[当期涨跌幅] > 0
AND t0.[第N大重仓股] <= '10'
AND t0.[持仓日期] = '20180630';","[(8,)]",在2018年半年度报告中，木叶村火影优选混合基金的前10大重仓股中有8只股票在报告期内取得正收益。
*,"请帮我查询下在2018年, 比奇堡基金管理有限责任公司管理的债券型基金中，持有过火影精选债券的基金有多少只？","SELECT COUNT(DISTINCT t1.[基金简称])
FROM 基金债券持仓明细 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[管理人] = '比奇堡基金管理有限责任公司' 
AND t1.[持仓日期] <= '20181231'
AND t1.[持仓日期] >= '20180101'
AND t1.[债券类型] = '火影精选债券';","[(4,)]",在2018年， 比奇堡基金管理有限责任公司管理的债券型基金中，持有过火影精选债券的基金有4只。
*,请问2018年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点四位。,"SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM(t1.[报告期期末基金总份额] - t1.[报告期期初基金总份额]),4)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-03-31 00:00:00'
AND t1.[报告期期末基金总份额] > t1.[报告期期初基金总份额];","[(1259, 246417046941.5713)]",2018年一季度有1259家基金是净申购，它们的净申购份额加起来是246417046941.5713份。
*,"我想了解黄金舰队驱动ETF基金,在2021年四季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","SELECT t0.[股票代码],t0.[股票名称], 当期涨跌幅
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20211001'
AND t2.[交易日] <= '20211231' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20211001'
AND t2.[交易日] <= '20211231' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '黄金舰队驱动ETF' 
AND t0.[第N大重仓股] = '3'
AND t0.[持仓日期] = '20211231'
AND t0.[报告类型] = '季报';","[('114514', '哲学王子', -19.19810)]",在2021年四季度的季报中，黄金舰队驱动ETF基金的第3大重仓股的简称是哲学王子，股票代码代码为114514。该股票当季度涨跌幅为19.20%
*,"我想了解黄金舰队驱动ETF基金,在2021年四季度的季报第3大重股。该持仓股票当个季度的涨跌金额?请四舍五入保留百分比到小数点两位。","SELECT t0.[股票代码],t0.[股票名称], 当期涨跌金额
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], [期末价]-[期初价]  AS 当期涨跌金额
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20211001'
AND t2.[交易日] <= '20211231' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20211001'
AND t2.[交易日] <= '20211231' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '黄金舰队驱动ETF' 
AND t0.[第N大重仓股] = '3'
AND t0.[持仓日期] = '20211231'
AND t0.[报告类型] = '季报';","[('114514', '哲学王子', -21.00)]",在2021年四季度的季报中，黄金舰队驱动ETF基金的第3大重仓股的简称是哲学王子，股票代码代码为114514。该股票当季度涨跌金额为-21.00元
*,请查询在2020年度，114514股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514'
AND t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND ((t1.[收盘价(元)] / t1.[昨收盘(元)]) - 1) * 100 >= 9.8;","[(12,)]",在2020年度，114514股票涨停天数是12天。
*,帮我查一下在2018年，代码为114514的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[今开盘(元)] > t1.[昨收盘(元)]
AND t1.[交易日] <= '20181231'
AND t1.[交易日] >= '20180101'
AND t1.[股票代码] = '114514';","[(129,)]",在2018年，代码为114514的A股股票今开盘高于昨收盘的天数是129天。
*,帮我查一下在2017年，代码为124514的A股股票今开盘低于昨收盘的天数？,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[今开盘(元)] < t1.[昨收盘(元)]
AND t1.[交易日] <= '20171231'
AND t1.[交易日] >= '20170101'
AND t1.[股票代码] = '124514';","[(219,)]",在2017年，代码为124514的A股股票今开盘低于昨收盘的天数是219天。
*,20161215日，开盘价较上一交易日最低价低的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM A股票日行情表 t0
JOIN(
SELECT t1.[股票代码],t1.[最低价(元)]
FROM A股票日行情表 t1
WHERE t1.[交易日] = (
SELECT MAX(t2.[交易日])
FROM A股票日行情表 t2
WHERE t2.[交易日] < '20161215')
) t2 ON t0.[股票代码] = t2.[股票代码]
WHERE t0.[交易日] = '20161215'
AND t0.[今开盘(元)] < t2.[最低价(元)];","[(198,)]",20161215日，开盘价较上一交易日最低价低的股票有198只。
*,20180215日，开盘价较上一交易日最低价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM A股票日行情表 t0
JOIN(
SELECT t1.[股票代码],t1.[最低价(元)]
FROM A股票日行情表 t1
WHERE t1.[交易日] = (
SELECT MAX(t2.[交易日])
FROM A股票日行情表 t2
WHERE t2.[交易日] < '20180215')
) t2 ON t0.[股票代码] = t2.[股票代码]
WHERE t0.[交易日] = '20161215'
AND t0.[今开盘(元)] > t2.[最低价(元)];","[(3122,)]",20180215日，开盘价较上一交易日最低价低的股票有3122只。
*,永乐大帝债券C基金在20210331的季报里，前六大持仓占比的债券名称是什么?,"SELECT t1.[债券名称]
FROM 基金债券持仓明细 t1
WHERE t1.[第N大重仓股] <= '6'
AND t1.[持仓日期] = 20210331
AND t1.[基金简称] = '永乐大帝债券C' AND t1.[报告类型] = '季报';","[('17国开06',), ('19国泰君安金融债01',), ('18中信银行二级01',),('20国债10',), ('20国开07',), ('20国开12',)]",永乐大帝债券C基金在20210331的季报里，前六大持仓占比的债券名称是17国开06，19国泰君安金融债01，18中信银行二级01，20国债10，20国开07和20国开12。
*,请问股票代码为114514的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN (
  SELECT t2.[股票代码], AVG(t2.[成交量(股)]) as 年日均成交量
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t2
  WHERE t2.[股票代码] = '114514' AND t2.[交易日] >= '20210101' AND t2.[交易日] <= '20211231'
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[成交量(股)] < t2.[年日均成交量]
AND t1.[股票代码] = '114514'
AND t1.[交易日] >= '20210101' AND t1.[交易日] <= '20211231';","[(161,)]",股票代码为114514的股票在2021年内日成交量低于该股票当年平均日成交量的有161个交易日。
*,我想知道股票114514在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT t2.[二级行业名称]
FROM A股公司行业划分表 t2
WHERE t2.[股票代码] = '114514' AND t2.[行业划分标准] = '申万行业分类'
ORDER BY [交易日期] DESC
LIMIT 1;","[('化学制药',)]",根据最新数据，股票114514在申万行业分类下的二级行业是化学制药。
*,在2014年的年度报告里，小可爱基金管理有限公司管理的基金中，有多少比例的基金是机构投资者持有的份额超过个人投资者？最好是一个精确到2位小数的百分比。,"SELECT ROUND(CAST(SUM(t2.[机构投资者持有的基金份额] < t2.[个人投资者持有的基金份额])*100 AS FLOAT)/COUNT(DISTINCT t1.[基金代码]),2)
FROM 基金基本信息 t1
JOIN 基金份额持有人结构 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[管理人] = '小可爱基金管理有限公司' 
AND t2.[报告类型] = '年度报告'
AND t2.[定期报告所属年度] = '2014';","[(58.33,)]",在2014年的年度报告里，小可爱基金管理有限公司管理的基金中，有58.33%的比例的基金是机构投资者持有的份额超过个人投资者。
*,在2015年的年度报告里，小可爱基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？最好是一个精确到3位小数的百分比。,"SELECT ROUND(CAST(SUM(t2.[机构投资者持有的基金份额] > t2.[个人投资者持有的基金份额])*100 AS FLOAT)/COUNT(DISTINCT t1.[基金代码]),3)
FROM 基金基本信息 t1
JOIN 基金份额持有人结构 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[管理人] = '小可爱基金管理有限公司' 
AND t2.[报告类型] = '年度报告'
AND t2.[定期报告所属年度] = '2015';","[(56.86,)]",在2015年的年度报告里，小可爱基金管理有限公司管理的基金中，有56.86%的比例的基金是个人投资者持有的份额超过机构投资者。
*,我想知道股票162105在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT t1.[二级行业名称]
FROM A股公司行业划分表 t1
WHERE t1.[股票代码] = '162105' AND t1.[行业划分标准] = '申万行业分类'
ORDER BY [交易日期] DESC
LIMIT 1;","[('纺织制造',)]",根据最新数据，股票162105在申万行业分类下的二级行业是纺织制造。
*,比奇堡基金管理有限公司管理的混合型产品的数量有多少?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[基金类型] = '混合型';","[(36,)]",比奇堡基金管理有限公司管理的混合型产品的数量是36只。
*,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;","[('114514', 0.3719441351539073)]",在2020年，申万行业分类行业划分标准，彩虹小马饲养一级行业中，代码为114514的股票的日均收益率最高，为0.372%。
*,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最低？","SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20200101' AND t1.[交易日] <= '20201231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 ASC
LIMIT 1;","[('162105', -0.6232432525)]",在2020年，申万行业分类行业划分标准，彩虹小马饲养一级行业中，代码为114514的股票的日均收益率最高，为0.623%。
*,我想知道在2018年，魔仙堡基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"SELECT COUNT(DISTINCT(t2.[基金代码])) FROM
(SELECT t1.[基金代码], MAX(t1.[截止日期]), t1.[报告期期初基金总份额] , t1.[报告期期末基金总份额]
FROM 基金规模变动表 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[定期报告所属年度] = '2018' 
AND t2.[管理人] = '魔仙堡基金管理有限公司' 
GROUP BY t1.[基金代码]) t2
WHERE t2.[报告期期初基金总份额] < t2.[报告期期末基金总份额];","[(53,)]",在2018年，魔仙堡基金管理有限公司已发行的基金中，有53只基金报告期期初基金总份额小于报告期期末基金总份额。
*,帮我查一下在2022年，代码为162105的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[今开盘(元)] > t1.[昨收盘(元)]
AND t1.[交易日] <= '20221231'
AND t1.[交易日] >= '20220101'
AND t1.[股票代码] = '162105'","[(120,)]",在2022年，代码为162105的A股股票今开盘高于昨收盘的天数是120天。
*,在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不小于5%的有几只基金？,"SELECT COUNT(DISTINCT(t1.[基金代码]))
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20160930'
AND t1.[股票名称] = '海绵宝宝'
AND t1.[市值占基金资产净值比] >= 0.05
AND t1.[报告类型] = '季报';","[(2,)]",在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不小于5%的有2只基金。
*,在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不大于8%的有几只基金？,"SELECT COUNT(DISTINCT(t1.[基金代码]))
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20160930'
AND t1.[股票名称] = '海绵宝宝'
AND t1.[市值占基金资产净值比] <= 0.08
AND t1.[报告类型] = '季报';","[(13,)]",在2016年9月季报中，持有海绵宝宝这一股票且市值占基金资产净值比不小于5%的有13只基金。
*,帮我查一下蟹黄堡概念混合A基金在20211215的资产净值和单位净值是多少?,"SELECT t2.[资产净值], t2.[单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20211215'
AND t1.[基金简称] = '蟹黄堡概念混合A';","[(56644199.77, 1.0421, '蟹黄堡概念混合A')]",蟹黄堡概念混合A基金在20211215的资产净值是56644199.77元，单位净值是1.0421元。
*,帮我查一下蟹黄堡概念混合A基金在20211215的资产净值和复权单位净值是多少?,"SELECT t2.[资产净值], t2.[复权单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20211215'
AND t1.[基金简称] = '蟹黄堡概念混合A';","[(56644199.77, 1.3218, '蟹黄堡概念混合A')]",蟹黄堡概念混合A基金在20211215的资产净值是56644199.77元，复权单位净值是1.3218元。
*,帮我查一下蟹黄堡概念混合A基金在20181215的累计单位净值是多少?,"SELECT t2.[累计单位净值],t1.[基金简称]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20181215'
AND t1.[基金简称] = '蟹黄堡概念混合A';","[(56644199.77, 1.0218, '蟹黄堡概念混合A')]",蟹黄堡概念混合A基金在20181215的累计单位净值是1.0218元。
*,我想知道天线宝宝彩虹小马混合驱动基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '天线宝宝彩虹小马混合驱动' 
AND t2.[行业划分标准] = '中信行业分类'
AND t1.[持仓日期] = '20201231'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;","[('建材',)]",用中信一级行业统计，天线宝宝彩虹小马混合驱动基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是建材行业。
*,我想知道股票114514在申万行业分类下的一级行业是什么？用最新的数据。,"SELECT t2.[一级行业名称]
FROM A股公司行业划分表 t2
WHERE t2.[股票代码] = '114514' 
AND t2.[行业划分标准] = '申万行业分类'
ORDER BY [交易日期] DESC
LIMIT 1;","[('一般零售',)]",根据最新数据，股票114514在申万行业分类下的一级行业是一般零售。
*,请问在彩虹小马饲养行业，20181107行业的A股公司有多少?,"SELECT COUNT(DISTINCT t2.[股票代码]) 
FROM A股公司行业划分表 t2 
WHERE t2.[一级行业名称] = '彩虹小马饲养' 
AND t2.[交易日期] = '20181107';","[(536,)]",在彩虹小马饲养行业，20181107行业的A股公司有536家。
*,"帮我算一下在20150716,代码为37201的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND(t1.[最高价(元)] - t1.[最低价(元)],3) AS 日价格振幅
FROM 港股票日行情表 t1
WHERE t1.[股票代码] = '37201' AND t1.[交易日] = '20150716';","[(0.09,)]",在20150716，代码为37201的港股日价格振幅是0.090元。
*,黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称是什么?,"SELECT DISTINCT(t1.[债券名称])
FROM 基金债券持仓明细 t1
WHERE t1.[第N大重仓股] <= '3'
AND t1.[持仓日期] = '20200630'
AND t1.[基金简称] = '黄金舰队增长C'
AND t1.[报告类型] = '季报';","[('20国债10',), ('20国债15',), ('19国债03',)]",黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称是20国债10，20国债15和19国债03。
*,黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称和持债数量是多少?,"SELECT t1.[债券名称], t1.[持债数量]
FROM 基金债券持仓明细 t1
WHERE t1.[第N大重仓股] <= '3'
AND t1.[持仓日期] = '20200630'
AND t1.[基金简称] = '黄金舰队增长C'
AND t1.[报告类型] = '季报'
ORDER BY t1.[第N大重仓股] ASC","[('20国债10',70000), ('20国债15',6000), ('19国债03',4000)]",黄金舰队增长C基金在20200630的季报里，前三大持仓占比的债券名称是20国债10，20国债15和19国债03，分别持有了70000，6000和4000。
*,20180406日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM A股票日行情表 t0
JOIN(
SELECT t1.[股票代码],t1.[最高价(元)]
FROM A股票日行情表 t1
WHERE t1.[交易日] = (
SELECT MAX(t2.[交易日])
FROM A股票日行情表 t2
WHERE t2.[交易日] < '20180406')
) t2 ON t0.[股票代码] = t2.[股票代码]
WHERE t0.[交易日] = 20180406'
AND t0.[今开盘(元)] > t2.[最高价(元)];","[(406,)]",20180406日，开盘价较上一交易日最高价高的股票有406只。
*,查询下基金代码114514的基金，它的基金类型是？,"SELECT t1.[基金类型]
FROM 基金基本信息 t1
WHERE t1.[基金代码] = '114514';","[('股票型',)]",基金代码为114514的基金的基金类型是股票型。
