问题id,问题,SQL,资料,FA
*,20160422日，一级行业为彩虹小马饲养的股票的成交金额合计是多少？取整。,"SELECT ROUND(SUM(t1.[成交金额(元)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';","[(66214354046.0,)]",20160422日，一级行业为彩虹小马饲养的股票的成交金额合计是66214354046元
*,20160422日，一级行业为彩虹小马饲养的股票的成交量合计是多少？取整。,"SELECT ROUND(SUM(t1.[成交量(股)]),0)
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[交易日] = t2.[交易日期]
WHERE t2.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160422';","[(7211754946.0,)]",20160422日，一级行业为彩虹小马饲养的股票的成交量合计是7211754946股
*,比奇堡基金管理有限公司管理的货币型产品的数量有多少?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[基金类型] = '货币型';","[(50,)]",比奇堡基金管理有限公司管理的货币型产品的数量是50只。
*,请帮我查询下股票代码为114514的股票在2021年内最高日收盘价是多少？,"SELECT MAX(t1.[收盘价(元)])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' 
AND t1.[交易日] >= '20210101' 
AND t1.[交易日] <= '20211231';","[(89.48,)]",股票代码为114514的股票在2021年内最高日收盘价是89.48元。
*,请帮我查询下股票代码为114514的股票在2018年内最低日收盘价是多少？,"SELECT MIN(t1.[收盘价(元)])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' 
AND t1.[交易日] >= '20180101' 
AND t1.[交易日] <= '20181231';","[(21.58,)]",股票代码为114514的股票在2018年内最低日收盘价是21.58元。
*,我想知道木叶村混合C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT t2.[一级行业名称]
FROM 基金可转债持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[对应股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '木叶村混合C' 
AND t2.[行业划分标准] = '申万行业分类'
AND t1.[持仓日期] = '20200331'
AND t1.[报告类型] = '季报'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;","[('轻工制造',)]",用申万一级行业统计，木叶村混合C基金在20200331的季报中，其可转债持仓占比最大的是轻工制造。
*,我想知道木叶村混合C基金在20200331的季报中，其股票持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT t2.[一级行业名称]
FROM 基金股票持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '木叶村混合C' 
AND t2.[行业划分标准] = '申万行业分类'
AND t1.[持仓日期] = '20200331'
AND t1.[报告类型] = '季报'
GROUP BY t2.[一级行业名称]
ORDER BY SUM(t1.[市值占基金资产净值比]) DESC
LIMIT 1;","[('家用电器',)]",用申万一级行业统计，木叶村混合C基金在20200331的季报中，其股票持仓占比最大的是家用电器。
*,请帮我查询在截止2015-03-31的报告期间，基金总份额降低的基金数量是多少？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2015-03-31 00:00:00' AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];","[(1438,)]",在截止2015-03-31的报告期间，基金总份额降低的基金数量是1438只。
*,在2016年1月31日，使用中信行业分类标准，股票代码114514是属于哪个一级行业的?,"SELECT t1.[一级行业名称]
FROM A股公司行业划分表 t1
WHERE t1.[交易日期] = '20160131'
AND t1.[行业划分标准] = '中信行业分类'
AND t1.[股票代码] = '114514';","[('轻工制造',)]",在2016年1月31日，使用中信行业分类标准，股票代码114514属于轻工制造一级行业。
*,在2022年报中，彩虹小马稳健利润C基金第八大重仓股的代码和股票名称是什么？,"SELECT t1.[股票代码], t1.[股票名称]
FROM 基金股票持仓明细 t1
WHERE t1.[基金简称] = '彩虹小马稳健利润C' 
AND t1.[持仓日期] = '20221231'
AND t1.[第N大重仓股] = '8'
LIMIT 1;","[('600519', '贵州茅台')]",在2022年报中，彩虹小马稳健利润C基金第八大重仓股的代码是600519，股票名称是贵州茅台。
*,20220930日，英雄联盟在多少只基金的前五大重仓股中？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20220930'
AND t1.[股票名称] = 英雄联盟'
AND t1.[第N大重仓股] <= '5';","[(10,)]",20220930日，英雄联盟在10只基金的前五大重仓股中。
*,"请帮我查询下在2020年, 比奇堡基金管理有限公司管理的债券型基金中，持有过国债现货的基金有多少只？","SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金债券持仓明细 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[持仓日期] <= '20201231'
AND t1.[持仓日期] >= '20200101'
AND t1.[债券类型] = '国债现货';","[(10,)]",在2020年， 比奇堡基金管理有限责任公司管理的债券型基金中，持有过国债现货的基金有10只。
*,在2018年12月年报(含半年报)中，魔仙堡木叶村混合A基金持有市值最多的前8只股票中，所在证券市场是中国香港证券交易所的有几个？,"SELECT COUNT(DISTINCT t1.[股票代码])
FROM 基金股票持仓明细 t1
WHERE t1.[基金简称] = '魔仙堡木叶村混合' 
AND t1.[持仓日期] = '20181231' 
AND t1.[第N大重仓股] <=8 
AND t1.[报告类型] = '年报(含半年报)'
AND t1.[所在证券市场] = '中国香港证券交易所';","[(7,)]",在2018年12月年报(含半年报)中，魔仙堡木叶村混合A基金持有市值最多的前8只股票中，所在证券市场是中国香港证券交易所的有7个。
*,在2018年报中，火之国木叶村债券A基金第九大重仓股的代码和股票名称是什么？,"SELECT t1.[股票代码], t1.[股票名称]
FROM 基金股票持仓明细 t1
WHERE t1.[基金简称] = '火之国木叶村债券A' 
AND t1.[持仓日期] = '20181231'
AND t1.[第N大重仓股] = '9'
LIMIT 1;","[('002142', '宁波银行')]",在2018年报中，火之国木叶村债券A基金第九大重仓股的代码是002142，股票名称是宁波银行。
*,请帮我查询下，在2019年Q4季报报告中，114514基金的第一大重仓可转债同期还有多少只基金也进行了持仓？,"SELECT COUNT(DISTINCT t1.[基金代码])-1 
FROM 基金可转债持仓明细 t1
JOIN (
SELECT t2.[对应股票代码] AS 目标股票
FROM 基金可转债持仓明细 t2
WHERE t2.[基金代码] = '114514'
AND t2.[持仓日期] = '20191231'
AND t2.[第N大重仓股] = 1
AND t2.[报告类型] = '季报'
) t3 ON t1.[对应股票代码] = t3.[目标股票]
WHERE t1.[持仓日期] = '20191231'
AND t1.[报告类型] = '季报';","[(7,)]",在2019年Q4季报报告中，114514基金的第一大重仓可转债同期还有7只基金也进行了持仓。
*,请帮我查询下，在2018年Q3季报报告中，114514基金的第一大重仓股票同期还有多少只基金也进行了持仓？,"SELECT COUNT(DISTINCT t1.[基金代码])-1 
FROM 基金股票持仓明细 t1
JOIN (
SELECT t2.[股票代码] AS 目标股票
FROM 基金股票持仓明细 t2
WHERE t2.[基金代码] = '114514'
AND t2.[持仓日期] = '20180930'
AND t2.[第N大重仓股] = 1
AND t2.[报告类型] = '季报'
) t3 ON t1.[对应股票代码] = t3.[目标股票]
WHERE t1.[持仓日期] = '20180930'
AND t1.[报告类型] = '季报';","[(14,)]",在2018年Q3季报报告中，114514基金的第一大重仓股票同期还有14只基金也进行了持仓。
*,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于放飞自我型类型的有几个。,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
JOIN 基金份额持有人结构 t2 
ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[定期报告所属年度] = '2021'
AND t2.[机构投资者持有的基金份额] < t2.[个人投资者持有的基金份额] 
AND t1.[基金类型] = '放飞自我型'
AND t2.[报告类型] = '年度报告';","[(55,)]",在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于放飞自我型类型的有55个。
*,请帮我查询下在2016年比奇堡基金管理有限公司成立的基金中，有多少只基金持仓过可转债债券？,"SELECT COUNT(DISTINCT(t1.[基金代码]))
FROM 基金可转债持仓明细 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[管理人] = '比奇堡基金管理有限公司' 
AND t2.[成立日期] <= '20161231'
AND t2.[成立日期] >= '20160101';","[(4,)]",在2016年比奇堡基金管理有限公司成立的基金中，有4只基金持仓过可转债债券。
*,请帮我查询下在2016年比奇堡基金管理有限公司成立的基金中，有多少只基金持仓过股票？,"SELECT COUNT(DISTINCT(t1.[基金代码]))
FROM 基金股票持仓明细 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[管理人] = '比奇堡基金管理有限公司' 
AND t2.[成立日期] <= '20161231'
AND t2.[成立日期] >= '20160101';","[(34,)]",在2016年比奇堡基金管理有限公司成立的基金中，有34只基金持仓过股票。
*,在20161022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT t1.[一级行业名称], COUNT(t1.[股票代码]) as 股票数量
FROM A股公司行业划分表 t1
WHERE t1.[行业划分标准] = '中信行业分类'
AND t1.[交易日期] = '20161022'
GROUP BY t1.[一级行业名称]
ORDER BY 股票数量 DESC
LIMIT 1;","[('机械设备', 234)]",在20161022，按照中信行业分类的行业划分标准，机械设备的一级行业的A股公司数量最多，为234家。
*,2017年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2017-12-31 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];","[(1438, 397322181421.12)]",2017年四季度，共有1438家基金发生了净赎回，总共赎回了397322181421.12份。
*,20161215港股下跌的股票家数有多少家?,"SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM 港股票日行情表 t1
WHERE t1.[收盘价(元)] < t1.[昨收盘(元)] 
AND t1.[交易日] = '20161215';","[(1046,)]",20161215港股下跌的股票家数有1024家。
*,我想知道木叶村火影优选一年混合B基金，在2016年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20160101'
AND t2.[交易日] <= '20161231' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20160101'
AND t2.[交易日] <= '20161231' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '木叶村火影优选一年混合B' 
AND t1.[当期涨跌幅] > 0
AND t0.[第N大重仓股] <= '10'
AND t0.[持仓日期] = '20161231';","[(10,)]",在2016年年度报告中，木叶村火影优选一年混合B基金的前10大重仓股中有8只股票在报告期内取得正收益。
*,请问在彩虹小马饲养行业，20190225行业的A股公司有多少?,"SELECT COUNT(DISTINCT t1.[股票代码])
FROM A股公司行业划分表 t1
WHERE t1.[一级行业名称] = '彩虹小马饲养'
AND t1.[交易日期] = '20190225';","[(157,)]",在彩虹小马饲养行业，20190225行业的A股公司有157家。
*,针对2016年的年度报告，有多少家基金的个人投资者持有份额占比不足8%?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金份额持有人结构 t1
WHERE t1.[个人投资者持有的基金份额占总份额比例]  < 0.08
AND t1.[定期报告所属年度] = '2016'
AND t1.[报告类型] = '年度报告';","[(813,)]",针对2016年的年度报告，有813家基金的个人投资者持有份额占比不足8%。
*,在2021年10月15日，使用申万行业分类标准，股票代码162105是属于哪个一级行业的?,"SELECT t1.[一级行业名称]
FROM A股公司行业划分表 t1
WHERE t1.[交易日期] = '20211015'
AND t1.[行业划分标准] = '申万行业分类'
AND t1.[股票代码] = '162105';","[('电力设备及新能源',)]",在2021年10月15日，使用申万行业分类标准，股票代码162105属于电力设备及新能源一级行业。
*,请问股票代码为114514的股票在2016年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN (
  SELECT t2.[股票代码], AVG(t2.[成交量(股)]) as 年日均成交量
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t2
  WHERE t2.[股票代码] = '114514' AND t2.[交易日] >= '20160101' AND t2.[交易日] <= '20161231'
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[成交量(股)] < t2.[年日均成交量]
AND t1.[股票代码] = '114514'
AND t1.[交易日] >= '20160101' AND t1.[交易日] <= '20161231';","[(149,)]",股票代码为114514的股票在2016年内日成交量低于该股票当年平均日成交量的有149个交易日。
*,20180909日，请给出魔仙堡木叶村混合A基金的管理人和累计单位净值。,"SELECT t1.[管理人], t2.[累计单位净值]
FROM 基金基本信息 t1
JOIN 基金日行情表 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[交易日期] = '20180909' 
AND t1.[基金简称] = '魔仙堡木叶村混合A';","[('巴啦啦基金管理有限公司', 1.0331)]",20180909日，魔仙堡木叶村混合A基金的管理人是巴啦啦基金管理有限公司，累计单位净值是1.0331元。
*,在2020年6月7日，使用中信行业分类标准，股票代码071415是属于哪个二级行业的?,"SELECT t1.[二级行业名称]
FROM A股公司行业划分表 t1
WHERE t1.[交易日期] = '20200607'
AND t1.[行业划分标准] = '中信行业分类'
AND t1.[股票代码] = '071415';","[('彩虹小马养殖',)]",在2020年6月7日，使用中信行业分类标准，股票代码071415属于彩虹小马养殖二级行业。
*,"请查询：2019年12月年报(含半年报),持有19小熊银行CD207且是前10大重仓股的基金有几个？","SELECT COUNT(DISTINCT t1.[基金代码]) 
FROM 基金债券持仓明细 t1
WHERE t1.[持仓日期] = '20191231' 
AND t1.[债券名称] = '19小熊银行CD207'
AND t1.[第N大重仓股] <= 10
AND t1.[报告类型] = '年报(含半年报)';","[(2,)]","2019年12月年报(含半年报),持有19小熊银行CD207且是前10大重仓股的基金有2个。"
*,请帮我查询出20210121日，彩虹小马饲养一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM A股票日行情表 t1 
JOIN (
SELECT *
FROM A股公司行业划分表 t2
WHERE t2.[交易日期] = '20210121' 
AND t2.[一级行业名称] = '彩虹小马饲养' 
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[交易日] = '20210121' 
AND (t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)] * 100 > 5;","[(93,)]",20210121日，彩虹小马饲养一级行业涨幅超过5%（不包含）的股票数量为93。
*,20220924港股下跌的股票家数有多少家?,"SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM 港股票日行情表 t1
WHERE t1.[收盘价(元)] < t1.[昨收盘(元)] 
AND t1.[交易日] = '20220924';","[(1242,)]",20220924港股下跌的股票家数有1242家。
*,请查询在2021年度，162105股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(DISTINCT t1.[交易日])
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '162105'
AND t1.[交易日] >= '20210101' AND t1.[交易日] <= '20211231'
AND ((t1.[收盘价(元)] / t1.[昨收盘(元)]) - 1) * 100 >= 9.8;","[(6,)]",在2021年度，162105股票涨停天数是6天。
*,帮我查询在2016年12月31日，代码为114514的基金前20大重仓股票中属于中信二级彩虹小马饲养行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(t1.[市值]),3) as 平均市值
FROM 基金股票持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金代码] = '114514'
AND t1.[持仓日期] = '20161231'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
AND t1.[第N大重仓股] <= '20'
ORDER BY t1.[市值] DESC;","[(77907468.5,)]",在2016年12月31日，代码为114514的基金前20大重仓股票中属于中信二级彩虹小马饲养行业的平均市值是77907468.500元
*,在20170423，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT t1.[一级行业名称], COUNT(t1.[股票代码]) as 股票数量
FROM A股公司行业划分表 t1
WHERE t1.[行业划分标准] = '申万行业分类' 
AND t1.[交易日期] = '20170423'
GROUP BY t1.[一级行业名称]
ORDER BY 股票数量 DESC
LIMIT 1;","[('彩虹小马养殖', 331)]",在20170423，按照申万行业分类的行业划分标准，彩虹小马养殖的一级行业的A股公司数量最多，为331家。
*,我想知道在20220331的季报里，比奇堡250ETF联接C投资的股票分别是哪些中信一级行业？,"SELECT DISTINCT t2.[一级行业名称]
FROM 基金股票持仓明细 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] 
AND t1.[持仓日期] = t2.[交易日期]
WHERE t1.[基金简称] = '比奇堡250ETF联接C' 
AND t1.[持仓日期] = '20220331'
AND t2.[行业划分标准] = '中信行业分类';","[('钢铁',), ('非银金融',), ('银行',), ('电子',), ('机械设备',), ('公用事业',), ('食品饮料',), ('医药生物',), ('国防军工',), ('计算机',)]",在20220331的季报里，比奇堡250ETF联接C投资的股票分别属于以下中信一级行业：钢铁，非银金融，银行，电子，机械设备，公用事业，食品饮料，医药生物，国防军工，计算机。
*,我想知道木叶村魔仙堡混合C基金，在2016年半年度报告中，前15大重仓股中，有多少只股票在报告期内取得正收益。,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM 基金股票持仓明细 t0
JOIN(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20160101'
AND t2.[交易日] <= '20160630' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[昨收盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20160101'
AND t2.[交易日] <= '20160630' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) t1 ON t0.[股票代码] = t1.[股票代码]
WHERE t0.[基金简称] = '木叶村魔仙堡混合C' 
AND t1.[当期涨跌幅] > 0
AND t0.[第N大重仓股] <= '15'
AND t0.[持仓日期] = '20160630';","[(9,)]",在2016年半年度报告中，木叶村魔仙堡混合C基金的前15大重仓股中有9只股票在报告期内取得正收益。
*,2018年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-03-31 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];","[(996, 196350640124.8)]",2018年一季度，共有996家基金发生了净赎回，总共赎回了196350640124.80份。
*,请问在彩虹小马饲养行业，20181122行业的A股公司有多少?,"SELECT COUNT(DISTINCT t2.[股票代码]) 
FROM A股公司行业划分表 t2 
WHERE t2.[一级行业名称] = '彩虹小马饲养' 
AND t2.[交易日期] = '20181122';","[(113,)]",在彩虹小马饲养行业，20181122行业的A股公司有113家。
