问题id,问题,SQL,资料,FA
*,我想知道比奇堡基金管理有限公司在2019年成立了多少只管理费率小于0.9%的基金？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20191231'
AND t1.[成立日期] >= '20190101'
AND t1.[管理费率] < '0.9%';","[(9,)]",比奇堡基金管理有限公司在2019年成立了9只管理费率小于0.9%的基金。
*,我想知道比奇堡基金管理有限公司在2019年成立了多少只托管费率小于0.3%的基金？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20191231'
AND t1.[成立日期] >= '20190101'
AND t1.[托管费率] < '0.3%';","[(18,)]",比奇堡基金管理有限公司在2019年成立了18只托管费率小于0.3%的基金。
*,请帮我计算，在20210720，中信行业分类划分的一级行业为彩虹小马饲养行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.[股票代码], ((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 涨跌幅
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210720'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
ORDER BY 涨跌幅 DESC
LIMIT 1;","[('114514', 4.81481481481481)]",在20210720，中信行业分类划分的一级行业为彩虹小马饲养行业中，涨跌幅最大股票的股票代码是114514，涨跌幅是4.81%。
*,请帮我计算，在20181221，中信行业分类划分的一级行业为彩虹小马饲养行业中，涨跌额最大股票的股票代码是？涨跌额是多少？保留两位小数。股票涨跌额定义为：（收盘价 - 前一日收盘价）* 100%。,"SELECT t1.[股票代码], ROUND((t1.[收盘价(元)] - t1.[昨收盘(元)]) ,2) AS 涨跌金额
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20181221'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
ORDER BY 涨跌金额 DESC
LIMIT 1;","[('162105', 67.13)]",在20181221，中信行业分类划分的一级行业为彩虹小马饲养行业中，涨跌额最大股票的股票代码是162105，涨跌额是67.13元。
*,股票114514在20180104日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND(t1.[收盘价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '114514' 
AND t1.[交易日] = '20180104';","[(6.24,)]",股票114514在20180104日期中的收盘价是6.240元
*,股票162105在20191124日期中的最高价是多少?（小数点保留3位）,"SELECT ROUND(t1.[最高价(元)],3)
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
WHERE t1.[股票代码] = '162105' 
AND t1.[交易日] = '20191124';","[(88.486,)]",股票162105在20191124日期中的最高价是88.486元
*,"我想了解一下心灵终结基金管理有限公司2019年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。","SELECT ROUND(AVG(t1.[管理费率]),2) AS 平均管理费率
FROM 基金基本信息 t1
WHERE t1.[管理人] = '心灵终结基金管理有限公司' 
AND t1.[成立日期] <= '20191231'
AND t1.[成立日期] >= '20190101'
AND t1.[基金类型] = '混合型';","[(0.44,)]",心灵终结基金管理有限公司2019年成立的混合型基金，其管理费率的平均值是0.44%。
*,"我想了解一下心灵终结基金管理有限公司2022年成立的货币型基金,其托管费率的平均值是多少?请四舍五入保留小数点两位。","SELECT ROUND(AVG(t1.[托管费率]),2) AS 平均托管费率
FROM 基金基本信息 t1
WHERE t1.[管理人] = '心灵终结基金管理有限公司' 
AND t1.[成立日期] <= '20221231'
AND t1.[成立日期] >= '20220101'
AND t1.[基金类型] = '货币型';","[(0.14,)]",心灵终结基金管理有限公司2022年成立的货币型基金，其托管费率的平均值是0.14%。
*,20181231日，火影忍者在多少只基金的前九大重仓股中？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20181231'
AND t1.[股票名称] = '火影忍者'
AND t1.[第N大重仓股] <= '9';","[(3,)]",20181231日，火影忍者在3只基金的前九大重仓股中。
*,20210618日，一级行业为蟹黄堡制造的股票的成交量合计是多少？取整。,"SELECT SUM(t1.[成交量(股)])
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210618'
AND t2.[一级行业名称] = '蟹黄堡制造';","[(899465961.0,)]",20210618日，一级行业为蟹黄堡制造的股票的成交量合计是899465961股。
*,在2020年12月季报中，持有火影忍者这一股票且市值占基金资产净值比不小于5%的有几只基金？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金股票持仓明细 t1
WHERE t1.[持仓日期] = '20201231'
AND t1.[股票名称] = '火影忍者'
AND t1.[市值占基金资产净值比] >= 0.05
AND t1.[报告类型] = '季报';","[(4,)]",在2020年12月季报中，持有火影忍者这一股票且市值占基金资产净值比不小于5%的有4只基金。
*,在2018年3月季报中，持有平煤股份的可转债且市值占基金资产净值比不小于2%的有几只基金？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金可转债持仓明细 t1
WHERE t1.[持仓日期] = '20180331'
AND t1.[股票名称] = '平煤股份'
AND t1.[市值占基金资产净值比] >= 0.02
AND t1.[报告类型] = '季报';","[(1,)]",在2018年3月季报中，持有平煤股份的可转债且市值占基金资产净值比不小于2%的有1只基金。
*,在2022年6月季报中，持有股票114514对应的可转债且市值占基金资产净值比不小于3%的有几只基金？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金可转债持仓明细 t1
WHERE t1.[持仓日期] = '20220630'
AND t1.[对应股票代码] = '114514'
AND t1.[市值占基金资产净值比] >= 0.03
AND t1.[报告类型] = '季报';","[(7,)]",在2022年6月季报中，持有股票114514对应的可转债且市值占基金资产净值比不小于3%的有7只基金。
*,请帮我查询在截止2018-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-06-30 00:00:00' 
AND t1.[报告期基金总赎回份额] = 0;","[(966,)]",在截止2018-06-30的基金定期报告中，基金总赎回份额为零的基金有966个。
*,"在20211231的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT t1.[债券类型]
FROM 基金债券持仓明细 t1
WHERE t1.[基金简称] = '华夏中债1-3年政策性金融债指数C' 
AND t1.[持仓日期] = '20211231'
AND t1.[报告类型] = '年报(含半年报)'
GROUP BY t1.[债券类型]
ORDER BY SUM(t1.[持债市值]) DESC
LIMIT 1;","[('金融债券',)]","在20211231的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是金融债券。"
*,请帮我查询出20210506日，彩虹小马饲养一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(DISTINCT t1.[股票代码]) 
FROM A股票日行情表 t1 
JOIN (
SELECT *
FROM A股公司行业划分表 t2
WHERE t2.[交易日期] = '20210506' 
AND t2.[一级行业名称] = '彩虹小马饲养' 
) t2 ON t1.[股票代码] = t2.[股票代码] 
WHERE t1.[交易日] = '20210506' 
AND (t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)] * 100 > 5;","[(7,)]",20210506日，彩虹小马饲养一级行业涨幅超过5%（不包含）的股票数量为7。
*,我想知道高山流水基金管理有限公司在2022年成立了多少只管理费率小于1.2%的基金？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '高山流水基金管理有限公司' 
AND t1.[成立日期] <= '20221231'
AND t1.[成立日期] >= '20220101'
AND t1.[管理费率] < '1.2%';","[(2,)]",高山流水基金管理有限公司在2022年成立了2只管理费率小于1.2%的基金。
*,请查询：在2018的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
JOIN 基金份额持有人结构 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t2.[定期报告所属年度] = '2018'
AND t1.[基金类型] = '货币型'
AND t2.[报告类型] = '年度报告'
AND t2.[机构投资者持有的基金份额] < t2.[个人投资者持有的基金份额];","[(365,)]",在2018的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有365个。
*,20180303日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(DISTINCT t0.[股票代码])
FROM A股票日行情表 t0
JOIN(
SELECT t1.[股票代码],t1.[最高价(元)]
FROM A股票日行情表 t1
WHERE t1.[交易日] = (
SELECT MAX(t2.[交易日])
FROM A股票日行情表 t2
WHERE t2.[交易日] < '20180303')
) t2 ON t0.[股票代码] = t2.[股票代码]
WHERE t0.[交易日] = '20180303'
AND t0.[今开盘(元)] > t2.[最高价(元)];","[(65,)]",20180303日，开盘价较上一交易日最高价高的股票有65只。
*,2016年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"SELECT COUNT(DISTINCT t1.[基金代码]), ROUND(SUM( t1.[报告期期初基金总份额] - t1.[报告期期末基金总份额]),2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2016-06-30 00:00:00'
AND t1.[报告期期末基金总份额] < t1.[报告期期初基金总份额];","[(2143, 285843272136.08)]",2016年二季度，共有2143家基金发生了净赎回，总共赎回了285843272136.08份。
*,我想知道在2018年，比奇堡基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额大于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"SELECT COUNT(DISTINCT(t2.[基金代码])) FROM
(SELECT t1.[基金代码], MAX(t1.[截止日期]), t1.[报告期期初基金总份额] , t1.[报告期期末基金总份额]
FROM 基金规模变动表 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[定期报告所属年度] = '2018' 
AND t2.[管理人] = '比奇堡基金管理有限公司' 
GROUP BY t1.[基金代码]) t2
WHERE t2.[报告期期初基金总份额] > t2.[报告期期末基金总份额];","[(14,)]",在2018年，比奇堡基金管理有限公司已发行的基金中，有14只基金报告期期初基金总份额大于报告期期末基金总份额。
*,我想知道2021年的中期报告中，机构投资者持有的份额占比超过19.19%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(DISTINCT t1.[基金代码]),   ROUND(SUM(t1.[机构投资者持有的基金份额]) ,2)
FROM 基金份额持有人结构 t1
WHERE t1.[机构投资者持有的基金份额占总份额比例] > 19.19
AND t1.[截止日期] = '2021-06-30 00:00:00'
AND t1.[报告类型] = '中期报告';","[(1655, 2114838198074.3)]",2021年的中期报告中，机构投资者持有的份额占比超过19.19%的基金有1655只，他们总共持有了2114838198074.30份。
*,20161021日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT t1.[股票代码]
FROM A股票日行情表 t1
WHERE t1.[交易日] = '20161021'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 3;","[('114514',), ('100875',), ('071415',)]",20161021日，成交金额最大的前三家上市公司的股票代码从大到小分别是114514，100875和071415.
*,我想知道2020年的年度报告中，机构投资者持有的份额占比超过40%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(DISTINCT t1.[基金代码]),   ROUND(SUM(t1.[机构投资者持有的基金份额]) ,2)
FROM 基金份额持有人结构 t1
WHERE t1.[机构投资者持有的基金份额占总份额比例] > 40
AND t1.[截止日期] = '2020-12-31 00:00:00'
AND t1.[报告类型] = '年度报告'
LIMIT 100;","[(220, 408101587539.2)]",2020年的年度报告中，机构投资者持有的份额占比超过40%的基金有220只，他们总共持有了408101587539.20份。
*,我想知道比奇堡基金管理有限公司在2020年成立了多少只管理费率小于0.6%的基金？,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20201231'
AND t1.[成立日期] >= '20200101'
AND t1.[管理费率] < '0.6%';","[(8,)]",比奇堡基金管理有限公司在2020年成立了8只管理费率小于0.6%的基金。
*,狗不理基金管理有限公司管理的混合型产品的数量有多少?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金基本信息 t1
WHERE t1.[管理人] = '狗不理基金管理有限公司' 
AND t1.[基金类型] = '混合型';","[(28,)]",狗不理基金管理有限公司管理的混合型产品的数量是28只。
*,请查询：在20160320，属于申万二级彩虹小马饲养行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG(t1.[成交金额(元)]),5) as 平均成交金额
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t2.[行业划分标准] = '申万行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20160320';","[(75707757.0,)]",在20160320，属于申万二级彩虹小马饲养行业的A股股票，它们的平均成交金额是75707757.00000元。
*,请列出比奇堡基金管理有限公司在2020年成立并且托管人为木叶村银行股份有限公司的所有基金的基金托管费率的平均数。,"SELECT AVG(t1.[托管费率]) 
FROM 基金基本信息 t1 
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20201231' 
AND t1.[成立日期] >= '20200101' 
AND t1.[托管人] = '木叶村银行股份有限公司';","[(0.1,)]",比奇堡基金管理有限公司在2020年成立并且托管人为木叶村银行股份有限公司的所有基金的基金托管费率的平均数是0.1%。
*,请列出比奇堡基金管理有限公司在2018年成立并且托管人为木叶村银行股份有限公司的所有基金的基金管理费率的平均数。,"SELECT AVG(t1.[管理费率]) 
FROM 基金基本信息 t1 
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20181231' 
AND t1.[成立日期] >= '20180101' 
AND t1.[托管人] = '木叶村银行股份有限公司';","[(0.3,)]",比奇堡基金管理有限公司在2018年成立并且托管人为木叶村银行股份有限公司的所有基金的基金托管费率的平均数是0.3%。
*,2021年中期报告里，比奇堡基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,"SELECT COUNT(DISTINCT t1.[基金代码])
FROM 基金份额持有人结构 t1
JOIN 基金基本信息 t2 ON t1.[基金代码] = t2.[基金代码]
WHERE t1.[机构投资者持有的基金份额] > t1.[个人投资者持有的基金份额]
AND t2.[管理人] = '比奇堡基金管理有限公司'
AND t1.[定期报告所属年度] = '2021'
AND t1.[报告类型] = '中期报告';","[(31,)]",2021年中期报告里，比奇堡基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有31只。
*,请帮我查询下，在2018年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,"SELECT t1.[基金简称],ROUND(t1.[报告期基金总申购份额] - t1.[报告期基金总赎回份额],2)
FROM 基金规模变动表 t1
WHERE t1.[截止日期] = '2018-03-31 00:00:00'
ORDER BY t1.[报告期基金总申购份额] - t1.[报告期基金总赎回份额] DESC
LIMIT 1;","[('彩虹小马养殖概念A', 11389257171.66)]",在2018年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是彩虹小马养殖概念A，差额为11389257171.66份。
*,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2016年，中信行业分类行业划分标准,彩虹小马饲养一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20160101' AND t1.[交易日] <= '20161231'
AND t2.[行业划分标准] = '中信行业分类'
AND t2.[一级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;","[('162105', 6.555877572497915)]",在2016年，中信行业分类行业划分标准，彩虹小马饲养一级行业中，代码为162105的股票的日均收益率最高，为6.556%。
*,"我想了解一下比奇堡基金管理有限公司2020年成立的股票型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。","SELECT ROUND(AVG(t1.[管理费率]),2) AS 平均管理费率
FROM 基金基本信息 t1
WHERE t1.[管理人] = '比奇堡基金管理有限公司' 
AND t1.[成立日期] <= '20201231'
AND t1.[成立日期] >= '20200101'
AND t1.[基金类型] = '股票型';","[(1.13,)]",比奇堡基金管理有限公司2020年成立的股票型基金，其管理费率的平均值是1.13%。
*,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2022年，申万行业分类行业划分标准,彩虹小马饲养二级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.[股票代码], AVG((t1.[收盘价(元)] - t1.[昨收盘(元)]) / t1.[昨收盘(元)]) * 100 AS 日均收益率
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] >= '20220101' AND t1.[交易日] <= '20221231'
AND t2.[行业划分标准] = '申万行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
GROUP BY t1.[股票代码]
ORDER BY 日均收益率 DESC
LIMIT 1;","[('071415', 1.2043329873002642)]",在2022年，申万行业分类行业划分标准，彩虹小马饲养二级行业中，代码为071415的股票的日均收益率最高，为1.204%。
*,请帮我计算，代码为114514的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"SELECT t0.[股票代码], ROUND(当期涨跌幅,2)
FROM(
SELECT t3.[股票代码], ([期末价]/[期初价] - 1)*100 AS 当期涨跌幅
FROM (
SELECT t1.[股票代码],t1.[收盘价(元)] AS [期末价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MAX(t2.[交易日]) AS 最后一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20200101'
AND t2.[交易日] <= '20201231' )
WHERE t1.[交易日] = 最后一天) t3
JOIN(
SELECT t1.[股票代码],t1.[今开盘(元)] AS [期初价],t1.[交易日]
FROM (SELECT * FROM A股票日行情表
UNION SELECT * FROM 港股票日行情表) t1
JOIN(
SELECT MIN(t2.[交易日]) AS 第一天
FROM A股票日行情表 t2
WHERE t2.[交易日] >= '20200101'
AND t2.[交易日] <= '20201231' )
WHERE t1.[交易日] = 第一天) t4 
ON t3.[股票代码] = t4.[股票代码]) AS t0
WHERE t0.[股票代码] = '114514';","[('114514', -19.19)]",代码为114514的股票，2020年一年持有的年化收益率为-19.19%。
*,20210623日，一级行业为彩虹小马饲养的股票的成交量合计是多少？取整。,"SELECT SUM(t1.[成交量(股)])
FROM A股票日行情表 t1
JOIN A股公司行业划分表 t2 ON t1.[股票代码] = t2.[股票代码] AND t1.[交易日] = t2.[交易日期]
WHERE t1.[交易日] = '20210623'
AND t2.[一级行业名称] = '彩虹小马饲养';","[(6865060773.0,)]",20210623日，一级行业为彩虹小马饲养的股票的成交量合计是6865060773股。
*,请查询：在20181030，属于申万二级彩虹小马饲养行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG(t1.[成交金额(元)]),5) as 平均成交金额
FROM A股公司行业划分表 t2
JOIN A股票日行情表 t1 ON t2.[股票代码] = t1.[股票代码] AND t2.[交易日期] = t1.[交易日]
WHERE t2.[行业划分标准] = '申万行业分类'
AND t2.[二级行业名称] = '彩虹小马饲养'
AND t1.[交易日] = '20181030';","[(114525816.7,)]",在20181030，属于申万二级彩虹小马饲养行业的A股股票，它们的平均成交金额是114525816.70000元。
